rank	league	team	user	wins	losses	pf	pa	cr
127	Bourque	Letterkenny Irish	D0WNW4rD	5	8	2436.65	2483.55	93.3%
128	Chelios	Breaking Saad	SergeantBBQ	9	4	2435.85	2216.65	84.68%
129	Lemieux	Bauer's Hacksaw	DrJackBauer	8	5	2435.05	2339.8	97.54%
130	Orr	Hartford Whalers	rbaikal211	9	4	2433.4	2431.75	95.25%
131	Lidstrom	Bettman Returns	Kiwsu	5	8	2423.9	2310.55	91.96%
132	Howe	North Kariya Has Nukes	kyriosa	3	10	2423.45	2731.75	90.69%
133	Pronger	Generic Team Name	baileyj15	8	5	2416.35	2148.7	92.26%
134	Yzerman	Fargo Frostbite	HuskerVol716	4	9	2414.65	2509.8	90.88%
135	Howe	Second Season Stumblers	Zetterburger	5	8	2414.15	2811.6	90.45%
136	Lidstrom	Don'tCryForMeJanHrdina	MrMikeySanz	6	7	2413.15	2363.05	97.34%
137	Bourque	Camp McDavid	warofthewrens	8	5	2412.8	2205.25	88.31%
138	Pronger	North Dakota Fanning Sioux	DMVPensFan	5	8	2406.25	2289.25	95.54%
139	Howe	The Iafrate Skullets	PorcupineGuy	4	9	2404.2	2590.2	87.21%
140	Yzerman	Ponch	ponch101	7	6	2396.5	2439.05	93.17%
141	Jagr	Lock Monsters	ksteadsrus	3	10	2395.35	2708.4	91.71%
142	Leetch	One Knight in Vegas	Schenley	7	6	2382.25	2342.25	93.62%
143	Lidstrom	Dzingel Berries	Biscotti	7	6	2377.55	2419.1	91.06%
144	Hasek	YourMomCantSpell	yourmomcantspel	3	10	2375.5	2684.8	94.99%
145	Howe	Penners House of Pancakes	Ebuff89	5	8	2366.4	2527.9	90.98%
146	Lemieux	McFleurys	StuffAndMore	5	8	2362.5	2421.3	91.44%
147	Howe	Churchmoor Caterpies	LtGerbil	5	8	2360.1	2522.3	89.98%
148	Howe	saint bergeron	east12	5	8	2345.45	2485.1	89%
149	Pronger	Nodak Senators	Samsens	7	6	2342.85	2237.2	80.83%
150	Chelios	Innisfail ScreamingMemes	ThePigMan	6	7	2336.75	2374.85	91%
151	Niedermayer	Moncton HABS	habs33	7	6	2335.45	2144.1	92.31%
152	Pronger	Pretend this is a good team name	joshewa	7	6	2334.35	2287.3	91.74%
153	Niedermayer	Oh N'Oshie Didn't	Vorrigan	8	5	2334.25	2234.15	94.2%
154	Pronger	St. John Drive	gmack3	8	5	2326.75	2185.1	93.36%
155	Leetch	The Seattle Sockeye	puckshock	6	7	2326.5	2181.5	87.14%
156	Leetch	PARTY KANE	MeanMatt	7	6	2295.55	2287.25	83.75%
157	Bourque	Nothing Really Matthews	Berggren	6	7	2282	2229.4	85.83%
158	Leetch	The Yzerplan	Ira_Brown	8	5	2277.45	2146.95	88.68%
159	Freddie-Hutton	The D.E.N.I.S. System	dkpatrick	2	11	2276.8	2613.65	82.34%
160	Jagr	Springfield Tire Fires	bv310	6	7	2274.15	2363.85	91.44%
161	Lemieux	Hall and Adam Oates	mendeleev79	5	8	2265.4	2336.8	83.5%
162	Pronger	Green Bastards	RandysGut	6	7	2259.65	2191.75	89.63%
163	Dionne	The Official Ken Klee Fan Club™	MackLoud	5	8	2242.35	2565.55	86.91%
164	Niedermayer	Mac to the Future 	laurenvs1	8	5	2242.3	2270.1	93.57%
165	Chelios	WhoseLineIsItEberle	antaresiv	6	7	2241.45	2347.1	92.28%
166	Chelios	Goaltender Interference	bpremo	5	8	2229.35	2347.9	84.55%
167	Pronger	Pistol Peteys	BigBurd	7	6	2223.95	2359.8	88.54%
168	Bourque	Ron France	Bippelog97	7	6	2219.55	2204.35	86.08%
169	Niedermayer	Gordon's Bomb Bay Doors	TwoFishFlavors	6	7	2213.5	2266.45	94.42%
170	Hasek	Pucking Fricks	Red_Dragons	1	12	2210.6	2802.25	83.86%
171	Dionne	That's a Load of Jarnkrok	Scrunts23	3	10	2206.1	2534.2	88.16%
172	Lemieux	I Just Met You, This is Krejci	Mdhemp	3	10	2198.55	2427.4	87.5%
173	Lemieux	RIP Heatley's Ferrari	Hail_Aqualung	2	11	2197.6	2738.1	83.03%
174	Lemieux	Saint Patrice	corvuskerst	5	8	2187.35	2415.1	90.8%
175	Yzerman	CuJo31	CuJo31	6	7	2185.85	2203.45	88.31%
176	Lidstrom	Optimal Hunter	Optimal_Hunter	5	8	2168.35	2366.15	84.83%
177	Chelios	17 Seconds	blackdragon1628	7	6	2156.95	2207.4	84.75%
178	Niedermayer	Greasy Pucks	sweetg	7	6	2148.95	2007.85	95.1%
179	Roy	Whats the Yams?	yams18	4	9	2147.3	2620.6	85.26%
180	Lidstrom	Wizardous Sedinery	popquiz_hotshot	5	8	2127.65	2194.15	76.91%
181	Dionne	Toronto Trash Pandas	Adzki	3	10	2120	2476	86.68%
182	Leetch	Bitches Be Krejci	sully6210	5	8	2114	2312.05	84.37%
183	Niedermayer	Hughes Over Kakko	Zachw0223	4	9	2102.35	2311.3	77.71%
184	Lidstrom	Goaltender Interference	redwings969	7	6	2092.05	2451.25	71.72%
185	Bourque	Stammer Time	GatorDave15	6	7	2083.3	2326.45	84%
186	Bourque	Honey Nut Chelios	Kryptycc	4	9	2082.65	2349.25	85.23%
187	Orr	Belmonites	OkPineapple	3	10	2082	2377.45	90.84%
188	Yzerman	Dangletangs VII	biggy_dooberman	2	11	2060.45	2415.8	79.79%
189	Pronger	Smiling Goats	SmilingGoat	5	8	2029.75	2261.8	80.94%
190	Lemieux	CTE (yeah you know me)	turtmcgirt	3	10	2024.3	2326.05	84.75%
191	Jagr	Crab Hockey	GusZ	3	10	2013	2596.85	73.73%
192	Chelios	JacketsMan69	JSAKelley2	3	10	2009.15	2371.2	85.05%
193	Lidstrom	TRUE GRIT	stinkus1	3	10	2001.4	2249.85	87.67%
194	Niedermayer	Hockey Team	laslopaniflex	3	10	1987.7	2254.85	85.03%
195	Yzerman	Schwartzhanded	NoRelationWayne	3	10	1971.25	2496.7	74.06%
196	Orr	Breaking Ladd	KRich1387	5	8	1963.25	2367.9	80.14%
197	Dionne	Kool Krabs	KoolKrab	0	13	1952	2696.8	76.78%
198	Chelios	OhOhOh its Mrazek	Sam1208	2	11	1947.8	2437.45	79.09%
199	Pronger	Gettin' Gritty Wit It	Redbeard11	4	9	1946.75	2254.2	82.53%
200	Leetch	You Malkin to Me?	tjwolf35	4	9	1945.8	2366.85	71.79%
201	Jagr	Hayzer	Hayzer13	3	10	1937.4	2254.45	80.07%
202	Niedermayer	Moves like jagr	Zuckerberg	3	10	1919.25	2350.65	79.09%
203	Jagr	Bk1689s Team	Bk1689	3	10	1891.8	2414.8	74.17%
204	Orr	Michigan Ice Mice	cjwolf24	2	11	1857.65	2342.15	87.88%
205	Lemieux	MacKinnon Ur Girl.	wtfover021	2	11	1851.9	2471.85	82.43%
206	Chelios	BradMarchandsBigNose	Moogs1	3	10	1843.7	2239.65	82.29%
207	Orr	Bust a Kapanen	morkle	3	10	1842.85	2289.9	78.7%
208	Leetch	nose face killah	kvcherov	1	12	1831.3	2309.5	79.6%
209	Niedermayer	The Nose Knows	ferda79	2	11	1819.6	2298.85	79.96%
210	Bourque	Torts Reform	hockeyisgood	1	12	1805.2	2413	74.57%
211	Bourque	Reedy Creek Canadiens	ReedyCreek	2	11	1791.1	2279.75	76%
212	Orr	From Russia with Pucks	mf9769	3	10	1786.1	2394.3	70.9%
213	Orr	Chabot Shalom	BarryBondsBalls	1	12	1784.3	2208.9	76.38%
214	Leetch	Keep Kadri-ming	abcSpectacular	4	9	1781.1	2157.5	75.47%
215	Chelios	C-A-P-S	Chimpo85	1	12	1774.3	2427.65	87.07%
216	Jagr	Tokyo Sandblasters	phillyCHEEEEEZ	2	11	1773.75	2477.4	72.87%
217	Niedermayer	It's Reigning Men	ItsReigningMen	1	12	1745.15	2390.4	83.29%
218	Yzerman	Letterkenny Irish	GingaNinja3113	1	12	1739.8	2631.85	71.93%
219	Leetch	MayTheForsbergWithYou	richtern14080	0	13	1664.8	2520.3	78.18%
220	Pronger	Muffalo Shavers	WhoseverPainter	4	9	1628.75	2117.8	84.45%
221	Lidstrom	Work in Progress	hurrikkaine	2	11	1606.3	2311.45	82.69%
222	Pronger	Birmingham Bulls	Weathergeekal	0	13	1599.95	2381.1	79.75%
223	Lidstrom	Birdman's baby boys	LordBirdman	2	11	1546.75	2362.05	87.65%
224	Bourque	Fife Flyers	Generousbeans	1	12	1445.75	2178.95	88.78%
