###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**|**W-8**|**W-9**|**W-10**|**W-11**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--
107|Messier|Letang Clan Ain't Nothing To Puck With|2167.3|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
108|Sakic|Had Phaneuf|2162.3|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
109|Francis|Hello my name is: Mike Johnston|2161.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
110|Sakic|Crosby Wears Jorts|2161.55|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
111|Francis|Crosby Toews Nash|2159.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
112|Francis|Insane In The Duchene|2158.7|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
113|Jagr|Couturier's Cooties|2158.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
114|Yzerman|Harder, Better, Faster, Pronger|2155.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
115|Howe|Das Seidenberg|2153.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
116|Lemieux|Whose Line is it Eberle?|2153.05|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
117|Francis|True Grit|2151.85|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
118|Howe|Saints and Sinners|2147.85|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
119|Messier|Eberle Hills 90210|2144.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
120|Messier|Sotnos HC|2139.25|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
121|Bourque|Bozak Horseman|2133.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
122|Roy|Acadian Fisherman|2131.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
123|Gretzky|The Tavarsenal|2129.3|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
124|Howe|Vanek at the Disco|2129.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
125|Eastern|Feel Like Malkin Love|2121.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
126|Lemieux|Kneel before Saad|2119.3|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
127|Esposito|Tomas Fleischlights|2118.3|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
128|Dionne|Bolland for Columbine|2118.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
129|Dionne|Pick It Up, Put It Down|2110.2|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
130|Yzerman|Century Mews|2110.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
131|Dionne|Respect Your Edlers|2108.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
132|Jagr|Crosboner|2097.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
133|Howe|Roy-Guy Races|2092.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
134|Esposito|Tiger Williams' Stick|2089.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
135|Sakic|Keep Calm and Bergeron|2087.05|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
136|Dionne|Puck Hard|2086.8|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
137|Francis|What's the Maatta?|2081.05|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
138|Eastern|Sunnyvale Stars|2076.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
139|Lemieux|Knuck If You Puck|2069.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
140|Howe|Take Me to Girouxsalem|2068.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
141|Francis|MVPerry|2066.5|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
142|Western|Dany Heatley's Limo Service|2065.75|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
143|Dionne|The Best Placeholder Name Ever|2064.1|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
144|Dionne|Shivakamini Somakandarkram|2062.75|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
145|Lemieux|South City Squash|2054.9|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
146|Lemieux|Chi-town Lantanas|2054.0|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
147|Lemieux|Lehigh Valley Phantoms|2053.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
148|Bourque|Raisin' Kane|2048.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
