###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--
146|Sakic|Crosby Wears Jorts|1403.15|NR|NR|NR|NR|NR|NR|NR
147|Lemieux|Vanek! at the Disco|1400.7|NR|NR|NR|NR|NR|NR|NR
148|Western|Mikko Horny|1396.25|NR|NR|NR|NR|NR|NR|NR
149|Bourque|Is this basketball?|1395.65|NR|NR|NR|NR|NR|NR|NR
150|Lemieux|Lehigh Valley Phantoms|1394.05|NR|NR|NR|NR|NR|NR|NR
151|Jagr|Fugly, by Dustin|1391.75|NR|NR|NR|NR|NR|NR|NR
152|Sakic|KRUG-S-A|1390.95|NR|NR|NR|NR|NR|NR|NR
153|Roy|Brad Medicine|1390.25|NR|NR|NR|NR|NR|NR|NR
154|Bourque|Raisin' Kane|1388.2|NR|NR|NR|NR|NR|NR|NR
155|Dionne|Gold is Yellow, not Beige|1387.2|NR|NR|NR|NR|NR|NR|NR
156|Yzerman|Jew Crew|1386.9|NR|NR|NR|NR|NR|NR|NR
157|Lemieux|South City Squash|1385.6|NR|NR|NR|NR|NR|NR|NR
158|Yzerman|Harder, Better, Faster, Pronger|1385.1|NR|NR|NR|NR|NR|NR|NR
159|Sakic|Alex Goooaaaaligoski|1378.5|NR|NR|NR|NR|NR|NR|NR
160|Dionne|The Best Placeholder Name Ever|1375.05|NR|NR|NR|NR|NR|NR|NR
161|Sakic|Turris Trap|1374.1|NR|NR|NR|NR|NR|NR|NR
162|Esposito|Kari On My Wayward Soul|1373.45|NR|NR|NR|NR|NR|NR|NR
163|Messier|Waiver Wire Wonders|1365.5|NR|NR|NR|NR|NR|NR|NR
164|Yzerman|Bad Religion|1364.3|NR|NR|NR|NR|NR|NR|NR
165|Western|Kneel Before Saad|1363.3|NR|NR|NR|NR|NR|NR|NR
166|Roy|ELB95|1361.45|NR|NR|NR|NR|NR|NR|NR
167|Sakic|Had Phaneuf|1358.6|NR|NR|NR|NR|NR|NR|NR
168|Dionne|This Name Always Getzlaf|1353.6|NR|NR|NR|NR|NR|NR|NR
169|Eastern|Cool Story Brodeur|1341.7|NR|NR|NR|NR|NR|NR|NR
170|Bourque|Are You MacKidding Me?|1338.35|NR|NR|NR|NR|NR|NR|NR
171|Western|That Krug Really Tied the Room Together|1333.1|NR|NR|NR|NR|NR|NR|NR
172|Howe|Take Me to Girouxsalem|1320.8|NR|NR|NR|NR|NR|NR|NR
173|Jagr|Ig It to Wig It|1315.35|NR|NR|NR|NR|NR|NR|NR
174|Jagr|Teemu's Salami|1291.7|NR|NR|NR|NR|NR|NR|NR
175|Lemieux|GiREKT|1290.15|NR|NR|NR|NR|NR|NR|NR
176|Francis|Yandleabra|1288.65|NR|NR|NR|NR|NR|NR|NR
177|Messier|The Wife Beaters.... Oops! Wrong Sport!|1265.75|NR|NR|NR|NR|NR|NR|NR
178|Yzerman|Hawaiian Hedgehogs|1264.3|NR|NR|NR|NR|NR|NR|NR
179|Eastern|Carl Seguin|1258.85|NR|NR|NR|NR|NR|NR|NR
180|Roy|Bryz's Bears|1257.95|NR|NR|NR|NR|NR|NR|NR
181|Messier|The Unknowns|1251.8|NR|NR|NR|NR|NR|NR|NR
182|Esposito|Doan Stop Believing|1247.15|NR|NR|NR|NR|NR|NR|NR
183|Jagr|Oshie's Eleven|1236.35|NR|NR|NR|NR|NR|NR|NR
