###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**
:-:|:-:|:-:|:--|:--|:--|:--|:--
169|Yzerman|Harder, Better, Faster, Pronger|880.4|NR|NR|NR|NR
170|Jagr|Teemu's Salami|875.05|NR|NR|NR|NR
171|Lemieux|GiREKT|873.65|NR|NR|NR|NR
172|Bourque|Boychuks Truest|872.55|NR|NR|NR|NR
173|Howe|Puttin' On The Foil|872.05|NR|NR|NR|NR
174|Eastern|Cool Story Brodeur|870.35|NR|NR|NR|NR
175|Roy|ELB95|866.9|NR|NR|NR|NR
176|Roy|Miller Time|863.9|NR|NR|NR|NR
177|Dionne|The Best Placeholder Name Ever|852.55|NR|NR|NR|NR
178|Messier|Change Later|849.1|NR|NR|NR|NR
179|Francis|Baby Got Backstrom|848.2|NR|NR|NR|NR
180|Lemieux|Password Is Turco|839.05|NR|NR|NR|NR
181|Jagr|Holy Smokes Bettman!|838.1|NR|NR|NR|NR
182|Francis|Taxicab Kanefessions|835.0|NR|NR|NR|NR
183|Eastern|Carl Seguin|834.65|NR|NR|NR|NR
184|Bourque|Twelve Parsecs|826.3|NR|NR|NR|NR
185|Howe|Madison Krakens|815.35|NR|NR|NR|NR
186|Esposito|Team Name Pending|809.8|NR|NR|NR|NR
187|Dionne|Lehtinen No Goals|800.2|NR|NR|NR|NR
188|Bourque|Nightmare On Helm Street|797.95|NR|NR|NR|NR
189|Jagr|McTank|783.15|NR|NR|NR|NR
190|Jagr|Oshie's Eleven|776.55|NR|NR|NR|NR
191|Sakic|Puck Dynasty|764.95|NR|NR|NR|NR
192|Messier|The Unknowns|762.25|NR|NR|NR|NR
193|Lemieux|Cape Town Lions|756.8|NR|NR|NR|NR
194|Messier|Cloud9|744.85|NR|NR|NR|NR
195|Messier|Captain KLeonard's Crew|744.6|NR|NR|NR|NR
196|Francis|Cheli-O's|680.9|NR|NR|NR|NR
-----

*A previous rank of NR means the team has most likely changed their name since then - working on a workaround for this.*

