###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--
110|Sakic|Jump Over the Hertl|1331.7|NR|NR|NR|NR|NR|NR
111|Dionne|Bill Murray Fan Club|1331.4|NR|NR|NR|NR|NR|NR
112|Esposito|Bearden Holtby|1330.35|NR|NR|NR|NR|NR|NR
113|Francis|A Soft Dump in the Corner|1330.1|NR|NR|NR|NR|NR|NR
114|Francis|Hello my name is: Mike Johnston|1324.85|NR|NR|NR|NR|NR|NR
115|Yzerman|CCCP Fantasy Team|1324.55|NR|NR|NR|NR|NR|NR
116|Gretzky|Saad De Haan Job|1321.55|NR|NR|NR|NR|NR|NR
117|Messier|Letang Clan Ain't Nothing To Puck With|1320.3|NR|NR|NR|NR|NR|NR
118|Roy|KitchRons|1315.3|NR|NR|NR|NR|NR|NR
119|Dionne|Puck Hard|1313.55|NR|NR|NR|NR|NR|NR
120|Sakic|Burns Notice|1313.45|NR|NR|NR|NR|NR|NR
121|Western|Buck Dich|1312.25|NR|NR|NR|NR|NR|NR
122|Lemieux|Chi-town Lantanas|1306.45|NR|NR|NR|NR|NR|NR
123|Yzerman|Century Mews|1302.15|NR|NR|NR|NR|NR|NR
124|Howe|Saints and Sinners|1298.05|NR|NR|NR|NR|NR|NR
125|Western|Dany Heatley's Limo Service|1295.6|NR|NR|NR|NR|NR|NR
126|Eastern|Feel Like Malkin Love|1293.95|NR|NR|NR|NR|NR|NR
127|Bourque|Karl Karlsson|1290.45|NR|NR|NR|NR|NR|NR
128|Esposito|Gary wasn't so brilliant|1288.7|NR|NR|NR|NR|NR|NR
129|Jagr|Slappa Voynov|1284.2|NR|NR|NR|NR|NR|NR
130|Francis|What's the Maatta?|1283.8|NR|NR|NR|NR|NR|NR
131|Francis|MVPerry|1282.8|NR|NR|NR|NR|NR|NR
132|Lemieux|Vanek! at the Disco|1281.6|NR|NR|NR|NR|NR|NR
133|Sakic|Keep Calm and Bergeron|1279.95|NR|NR|NR|NR|NR|NR
