###OVERALL POINTS LEADERS - Who has scored hte most points this season?
**Rank**|**League**|**Team**|**User**|**PF**
:-:|:-:|:-:|:-:|:--
212|Niedermayer|Greasy Pucks|sweetg|667.8
213|Orr|Bust a Kapanen|morkle|666.25
214|Niedermayer|It's Reigning Men|ItsReigningMen|657.15
215|Niedermayer|Moves like jagr|Zuckerberg|656.6
216|Niedermayer|The Nose Knows|ferda79|655.8
217|Bourque|Reedy Creek Canadiens|ReedyCreek|644.3
218|Orr|Chabot Shalom|BarryBondsBalls|629.75
219|Lidstrom|Birdman's baby boys|LordBirdman|617.7
220|Leetch|MayTheForsbergWithYou|richtern14080|610.5
221|Pronger|Birmingham Bulls|Weathergeekal|564.9
222|Lidstrom|Work in Progress|hurrikkaine|554.5
223|Bourque|Fife Flyers|Generousbeans|490.25
224|Pronger|Muffalo Shavers|WhoseverPainter|472.0
-----

