###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**
:-:|:-:|:-:|:--|:--|:--|:--
135|Dionne|DC Red Rockets|797.95|NR|NR|NR
136|Francis|A Soft Dump in the Corner|796.75|NR|NR|NR
137|Esposito|Tiger Williams' Stick|794.25|NR|NR|NR
138|Roy|Acadian Fisherman|792.65|NR|NR|NR
139|Jagr|Ig It to Wig It|789.45|NR|NR|NR
140|Lemieux|Lehigh Valley Phantoms|787.1|NR|NR|NR
141|Eastern|Feel Like Malkin Love|786.95|NR|NR|NR
142|Dionne|Amber Llamas|786.05|NR|NR|NR
143|Gretzky|The Tavarsenal|783.3|NR|NR|NR
144|Gretzky|The Roughnecks|782.5|NR|NR|NR
145|Esposito|Kari On My Wayward Soul|782.2|NR|NR|NR
146|Roy|Brad Medicine|781.95|NR|NR|NR
147|Messier|The Wife Beaters.... Oops! Wrong Sport!|780.1|NR|NR|NR
148|Esposito|Howard you doing?|776.55|NR|NR|NR
149|Yzerman|CCCP Fantasy Team|775.65|NR|NR|NR
150|Roy|KitchRons|773.3|NR|NR|NR
151|Western|That Krug Really Tied the Room Together|771.9|NR|NR|NR
152|Yzerman|Heinz Tinned Toffoli|771.8|NR|NR|NR
153|Eastern|Cool Story Brodeur|767.7|NR|NR|NR
154|Messier|Sotnos HC|764.5|NR|NR|NR
155|Esposito|Heatley Hits The Post!|762.05|NR|NR|NR
156|Jagr|Fugly, by Dustin|760.25|NR|NR|NR
157|Lemieux|Whose Line is it Eberle?|759.1|NR|NR|NR
158|Lemieux|GiREKT|757.7|NR|NR|NR
159|Yzerman|Jew Crew|756.5|NR|NR|NR
160|Sakic|Turris Trap|755.05|NR|NR|NR
161|Jagr|Teemu's Salami|753.5|NR|NR|NR
162|Eastern|Sunnyvale Stars|752.95|NR|NR|NR
163|Sakic|Had Phaneuf|749.5|NR|NR|NR
164|Western|Mikko Horny|743.35|NR|NR|NR
165|Howe|Puttin' On The Foil|739.0|NR|NR|NR
166|Roy|Bryz's Bears|737.95|NR|NR|NR
167|Sakic|In Dubas We Trust|728.8|NR|NR|NR
168|Roy|Miller Time|727.0|NR|NR|NR
169|Dionne|Gold is Yellow, not Beige|725.45|NR|NR|NR
170|Bourque|Is this basketball?|715.25|NR|NR|NR
171|Roy|ELB95|714.25|NR|NR|NR
172|Howe|Vanek at the Disco|709.95|NR|NR|NR
173|Yzerman|Harder, Better, Faster, Pronger|706.95|NR|NR|NR
174|Sakic|Crosby Wears Jorts|702.75|NR|NR|NR
175|Bourque|Raisin' Kane|701.25|NR|NR|NR
