###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**
:-:|:-:|:-:|:--|:--|:--
159|Yzerman|Bad Religion-zo|3420.2|NR|NR
160|Jagr|Couturier's Cooties-zx|3414.05|NR|NR
161|Francis|What's the Maatta?-zo|3412.55|NR|NR
162|Bourque|Stupid Sexy Henrik-zo|3406.9|NR|NR
163|Esposito|Kari On My Wayward Soul-zo|3405.9|NR|NR
164|Jagr|Slappa Voynov-zo|3389.35|NR|NR
165|Esposito|Howard you doing?-zo|3357.55|NR|NR
166|Lemieux|I SUCK AT FANTASY HOCKEY-zo|3354.4|NR|NR
167|Dionne|Gold is Yellow, not Beige-zo|3349.5|NR|NR
168|Jagr|Crosboner-zo|3335.55|NR|NR
169|Jagr|Ig It to Wig It-zo|3334.75|NR|NR
170|Western|Tickle My Bickle-zo|3306.6|NR|NR
171|Jagr|Fugly, by Dustin-zo|3297.15|NR|NR
172|Bourque|More Power Plays Please-zo|3282.15|NR|NR
173|Yzerman|Reggie Dunlop's Puck Bunny Fantasy Team-zo|3261.4|NR|NR
174|Roy|ELB95-zo|3246.8|NR|NR
175|Sakic|Keep Calm and Bergeron-zo|3235.25|NR|NR
176|Eastern|Carl Seguin-zo|3203.6|NR|NR
177|Jagr|Oshie's Eleven-zo|3181.55|NR|NR
178|Bourque|Is this basketball?-zo|3175.3|NR|NR
179|Francis|True Grit-zo|3170.55|NR|NR
180|Esposito|Blue&WhiteDisease-zo|3123.55|NR|NR
181|Lemieux|Cape Town Lions-zo|3122.55|NR|NR
182|Bourque|Are You MacKidding Me?-zo|3115.5|NR|NR
183|Howe|Dusters-zo|3060.3|NR|NR
184|Jagr|Teemu's Salami-zo|3060.25|NR|NR
185|Sakic|H2H...yay-zo|3048.55|NR|NR
186|Jagr|McTank-zo|3035.5|NR|NR
187|Messier|The Wife Beaters.... Oops! Wrong Sport!-zo|3035.45|NR|NR
188|Francis|The New Cheli-O's-zo|3025.1|NR|NR
189|Yzerman|CCCP Fantasy Team-zo|2955.05|NR|NR
190|Eastern|Drew Bledsoe Ate My Chocolate Pudding-zo|2945.65|NR|NR
191|Francis|Baby Got Backstrom-zo|2920.35|NR|NR
192|Messier|Cloud9.0.1-zo|2871.8|NR|NR
193|Yzerman|Survive and Prospal-zo|2807.1|NR|NR
194|Bourque|Nightmare On Helm Street-zo|2760.2|NR|NR
195|Roy|Bryz's Bears-zo|2740.85|NR|NR
196|Dionne|Facewashington Capitals-zo|2709.85|NR|NR
-----

*A previous rank of NR means the team has most likely changed their name since then - working on a workaround for this.*

